A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,C1,C2,C3,C4,D1,D2,D3,D4,D5,ROE,EPS
19.75,492.67,423.26,2.075,0.88,38.865,0.77,174899,0.165,104.895,124,5,3,33,1,2,46,79.5,41.99,16.75,17.905,31.51,47.655,1,2.34,0.47
3.965,1068.285,966.215,1.025,1.42,0.555,42.06,546741.5,0.04,74.27,663,8,5,34,1,11,40.8,100,89.89,12.808,46.09,54.935,-53.125,0.262,-1.41,-0.24
25.5,283.305,215.155,1.435,0.9,1.225,2.605,5024795,0.21,101.41,1902,12,5,34,46,9,43.2,100,30.985,322.602,18.975,31.435,-13.2,0.176,1.64,0.57
33.285,229.35,179.165,2.3,0.73,0.51,-16.885,1486220,0.105,125.3,845,5,8,37,69,21,39.9,100,65.905,0.157,41.02,87.46,14.44,0.075,3.76,0.34
13.585,749.38,679.575,0.815,1.51,2.345,21.44,526762,0.15,60.265,282,21,7,36,1.5,14,10.7,53.8,66.355,22.374,10.805,19.675,-12.96,0.319,0.92,0.11
19.49,425.885,380.46,3.385,1.325,3.275,13.565,25430344.5,0.175,68.95,6746,14,3,32,93,7,52.6,100,90.225,3863.296,24.475,30.005,-20.02,0.355,2.91,3.03
17.01,452.68,365.23,1.85,1.535,1.805,23.805,1595356.5,0.21,60.52,605,6,7,36,10,21,33.7,28.1,57.13,77.5,15.535,24.67,15.97,0.247,0.32,0.09
18.815,499.09,272.06,2.13,0.475,3.315,-49.155,1305719.5,0.17,190.33,331,9,5,37,2.5,10,31.5,100,56.755,120.564,9.865,14.675,-7.65,0.472,0.84,0.2
11.375,536.84,438.87,1.525,0.955,8.545,-0.355,956102,0.13,95.11,544,8,6,37,7.5,5,34.5,34.5,34.305,69.208,18.545,32.655,-8.23,0.688,1.31,0.41
42.155,194.205,168.57,0.845,1.8,5.7,9.605,9126533.5,0.24,50.58,1339,7,4,35,39.5,8,24.4,86.3,74.245,808.944,9.615,13.125,15.45,0.67,4.06,1.53
20.63,302.79,254.465,1.45,1.765,1.925,18.575,1694107.5,0.205,51.705,681,17,5,36,8.5,10,32.8,76.5,46.82,128.339,21.415,30.76,15.225,0.247,1.66,0.32
16.49,448.295,425.875,2.35,2.31,1.615,21.29,894569.5,0.125,39.555,200,14,5,33,1,3,45.2,100,95.53,116.934,19.225,31.925,-35.845,0.43,2.19,0.44
6.505,1330.59,1238.815,1.21,1.07,0.665,60.215,125449,0.09,84.85,75,1,8,43,0,4,62.9,100,79.025,10.904,18.83,38.15,-17.18,0.269,0.98,0.17
34.02,256.515,142.445,2.155,1.595,6.555,7.5,2774129,0.585,57.205,494,8,4,36,3,4,28,78.6,77.785,52.893,9.14,13.42,27.595,0.828,4.6,1.12
51.125,175.84,82.13,2.17,1.24,9.6,-7.845,1638913.5,0.54,73.42,376,16,2,33,1,1,14.3,100,85.11,41.747,7.225,10.885,62.385,1,1.8,0.51
17.91,537.97,454.705,0.765,0.975,13.62,31.9,319373.5,0.185,93.255,133,15,5,35,3,6,41.3,96.3,97.63,25.45,11.445,26.53,-28.155,1,1.07,0.2
30.19,268.645,204.31,1.315,1.33,3.43,26.875,3022257,0.355,69.975,679,2,4,34,24,7,35.3,64.2,47.28,484.918,10.03,20.24,17.92,0.46,7.02,2.91
33.32,240.345,170.065,1.23,1.28,2.68,3.095,1285158.5,0.26,71.795,336,41,3,35,7,11,25.5,100,77.965,46.683,14.4,18.745,-6.48,0.37,0.83,0.3
22.635,345.285,261.785,0.84,0.905,4.045,10.435,1213536,0.225,100.385,284,2,6,36,0,2,34.7,77.5,82.455,165.368,8.995,15.345,6.625,1,4.82,2.32
29.875,441.595,223.185,0.775,0.67,9.46,-15.545,903729.5,0.26,136.645,117,1,5,36,0.5,3,15.1,70.7,74.11,11.751,4.185,8.17,7.405,1,-0.82,-0.13
18.36,478.03,440.415,1.875,1.385,3.74,12.565,1046023,0.135,66.14,198,6,4,35,18,2,42.5,100,89.59,67.82,12.025,20.835,-4.705,0.447,1.05,0.54
23.045,377.5,239.49,0.985,0.83,10.22,17.38,223057.5,0.34,109.815,102,8,5,35,0.5,4,32.8,46.2,32,16.93,14.77,20.33,4.855,0.894,3.33,0.51
18.52,396.66,354.08,1.185,2.47,1.11,24.615,297098,0.235,37.34,127,13,4,33,6.5,2,31.2,94,19.92,23.54,12.215,17.26,29.255,1,4.18,1.14
11.44,524.24,510.25,2.455,0,0.625,72.85,221456.5,0.2,0,194,11,4,34,3.5,3,20.6,100,43.27,19.78,29.64,46.445,19.515,0.21,2.15,0.4
16.2,603.415,511.28,2.215,0.78,31.49,-5.925,173603.5,0.165,116.965,142,3,3,34,1.5,2,39.7,93.2,44.27,33.95,20.705,34.3,54.635,1,6.11,1.27
4.18,922.8,817.25,1.185,1.08,0.405,6.985,392730.5,0.03,86.705,663,8,5,34,0.5,11,41.15,100,84.97,0.6404,59.78,71.35,-41.935,0.188,-1.61,-0.26
21.155,314.745,244.1,1.59,1.07,1.285,10.84,5058854.5,0.23,88.135,1902,12,5,34,48.5,9.5,43.65,100,33.08,293.122,17.13,30.775,-12.06,0.206,3.74,1.29
32.68,252.94,198.645,2.64,0.685,0.53,-23.13,1504402,0.11,134.9,845,5,8,37,63.5,20.5,39.85,100,69.08,0.0785,45.61,89.405,14.895,0.081,-17.37,-1.5
13.985,724.685,656.43,0.84,1.555,2.25,17.335,501045.5,0.14,58.63,282,21,7,36,1.5,19.5,8,55.65,61.96,11.187,10.425,19.015,-14.42,0.372,0.57,0.07
18.23,461.865,411.66,2.915,1.19,2.725,13.025,21273455,0.15,76.61,6746,14,3,32,100,7,48.15,100,90.45,2788.7695,25.43,31.55,-30.66,0.327,3.15,3.05
16.595,461.64,364.97,1.91,1.16,1.455,7.715,1281289.5,0.17,79.69,605,6,7,36,15.5,21,33.95,36.65,64.38,61.25,17.42,29.57,-1.865,0.22,3.84,0.62
18.835,495.125,265.53,2.59,0.5,3.175,-13.62,1377618.5,0.19,181.095,331,9,5,37,3.5,10.5,29.7,100,61.28,60.282,9.41,13.82,-19.565,0.521,-0.83,-0.18
12.17,509.12,417.835,1.6,0.985,7.32,15.34,981383,0.135,92.44,544,8,6,37,7,5,32.95,32.95,35.71,34.604,16.98,30.31,-6.29,0.53,0.82,0.25
40.56,203.8,176.545,0.84,1.665,5.42,8.725,8565309.5,0.225,54.63,1339,7,4,35,49.5,8,24,87.45,75.19,730.517,10.33,13.725,7.945,0.634,4.77,1.73
18.895,340.63,286.85,1.345,1.53,1.705,14.615,1482538,0.18,60.29,681,17,5,36,10,10,29.1,78.15,51.06,73.104,22.15,32.86,3.57,0.24,0.01,0.03
15.765,479.315,446.51,2.295,1.905,1.42,9.775,792258,0.11,48.625,200,14,5,33,0,3,34.8,100,97.41,99.7755,20.855,34.755,-39.645,0.501,1.88,0.35
6.68,1303.42,1214.645,1.155,1.045,0.545,41.2,102466.5,0.075,87.375,75,1,8,43,0,4.5,63.25,99.85,77.66,5.452,24.04,46.45,-29.82,0.269,0.77,0.13
29.73,298.19,187.515,1.91,1.49,5.895,36.945,2442438,0.52,61.58,494,8,4,36,0.5,4,32.45,79.35,68.45,56.1105,10.06,14.695,14.255,1,3.67,0.88
17.26,545.905,485.94,1.27,1.375,6.245,5.925,255298.5,0.185,67.545,115,20,3,35,8,1,37.9,83.1,6.87,32.936,12.625,19.745,-13.73,0.665,3.15,0.84
46.92,192.705,100.065,2.21,1.28,9.915,8.575,1725608,0.545,71.225,376,16,2,33,2,1,14.65,100,83.06,66.522,6.745,10.11,77.845,1,2.62,0.78
19.905,453.18,367.38,1.685,0.78,4.065,2.745,843336,0.18,116.625,378,11,7,38,8,5,47.8,45.7,82.39,79.757,17.675,30.395,-5.36,0.406,4.49,0.73
17.83,536.895,466.395,0.795,1.06,13.29,22.18,295284.5,0.175,86.155,133,15,5,35,3,7,37.55,96.25,97.2,12.725,12.35,29.04,-28.44,0.883,-0.31,-0.06
28.69,282.625,208.785,1.355,1.095,3.02,20.44,2718882,0.32,83.31,679,2,4,34,23.5,7.5,35.85,62.85,50.95,411.3095,10.81,20.955,1.08,0.427,6.44,2.52
28.11,271.695,193.925,1.185,1.11,2.41,-0.81,1122555.5,0.235,82.02,336,41,3,35,6,11,29,100,77.34,36.5275,15.405,20.61,-13.63,0.37,2.48,0.77
21.935,349.99,267.95,0.87,0.93,2.74,12.07,1209404,0.23,97.885,284,2,6,36,0,2,32.6,79.5,83.22,126.9505,9.095,16.13,8.125,1,3.47,1.58
29.165,485.605,248.66,0.75,0.635,6.11,10.02,802933.5,0.25,143.85,117,1,5,36,0,3.5,12.2,66.1,73.81,5.8755,4.545,8.495,-2.84,1,-1.52,-0.19
18.69,474.56,437.01,1.75,1.195,3.085,12.51,843054,0.11,76.25,198,6,4,35,20.5,2,42.5,100,89.59,67.82,12.835,22.535,-20.665,0.407,1.38,0.7
21.855,400.25,258.23,0.99,0.775,10.51,19.095,211591,0.33,117.085,102,8,5,35,1,4,32.8,46.2,32,16.93,14.31,20.17,1.635,1,7.44,1.12
19.54,382.11,330.29,1.31,2.145,1.115,14.72,296041.5,0.235,42.44,127,13,4,33,0,2,31.2,94,19.92,23.54,12.32,17.345,27.185,0.837,2.12,0.56
9.27,809.1,801.37,2.705,0,0.535,67.51,185277,0.15,0,194,11,4,34,7,3,20.6,100,43.27,19.78,35.8,55.915,0.535,0.17,1.74,0.38
17.305,574.9,494.48,2.535,1.1,44.825,11.11,234579.5,0.215,90.38,142,3,3,34,4,2,39.7,93.2,44.27,33.95,17.065,28,90.03,1,9.55,1.94
4.48,849.73,760.58,1.565,1.385,0.525,-21.235,497448.5,0.04,66.095,663,8,5,34,1,11,41.5,100,84.97,0,57.635,72.92,-32.405,0.136,1.35,0.2
26.945,256.055,209.09,1.72,1.42,1.56,20.96,5864134,0.265,65.065,1902,12,5,34,49,10,44.1,100,33.08,263.642,17.005,28.65,-3.91,0.239,2.44,0.83
36.15,274.86,215.36,2.7,0.58,0.5,-27.14,1407641,0.105,158.2,845,5,8,37,60,20,39.8,100,69.08,0,49.525,90.255,2.345,0.078,-21.62,-1.53
17.565,588.085,526.92,0.9,1.615,2.45,2.075,536117,0.15,56.315,282,21,7,36,1,25,5.3,57.5,61.96,0,9,16.935,-12.32,0.467,2.18,0.24
25.305,367.855,327.735,2.81,1.175,2.505,6.775,20424488.5,0.145,77.595,6746,14,3,32,91.5,7,43.7,100,90.45,1714.243,24.615,30.69,-34.605,0.269,4.14,3.73
21.465,369.335,299.315,2.025,1.13,1.545,7.02,1347775,0.18,81.4,605,6,7,36,12.5,21,34.2,45.2,64.38,45,16.245,27.73,-12.095,0.24,1.52,0.25
20.945,441.41,248.895,2.675,0.54,3.695,9.505,1591106,0.225,167.53,331,9,5,37,4.5,11,27.9,100,61.28,0,10.015,14.54,-26.96,0.489,-0.37,-0.08
15.03,398.89,324.96,1.625,1.035,4.965,12.92,1039700,0.14,87.97,544,8,6,37,6,5,31.4,31.4,35.71,0,16.35,29.14,-6.675,0.371,0.23,0.07
